Longitude,Latitude,UID,ENodeBID,RSRP,RSRQ,DownloadThroughput,LatencyAverage,JitterAverage,PacketLossLostPercentage,Band,Tecnologia,Operadora
-48.4875417,-27.6766544,9983348E038EF585,480065,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480245,-102,-7,,,,,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480065,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4846383,-27.6761916,0203F16544B9D9F8,480061,,,,23.514033,4.272316,0,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480064,-94,-7,,,,,2600 MHz (Band 7),4G,Claro
-48.4853182,-27.6760133,13720C6DEC93EF2B,480064,-111,-8,,,,,2600 MHz (Band 7),4G,Claro
-48.4853116,-27.6760848,13720C6DEC93EF2B,480061,,,,,,,2600 MHz (Band 7),4G,Claro
-48.484479,-27.6754126,DE77334F20D570FD,480064,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4841519,-27.6786804,FFE53CC89AEF32A5,480064,-115,-9,,,,,1800+ MHz (Band 3),4G,Claro
-48.4852874,-27.6761804,CD4D9022DB91B06A,480063,-76,-8,,22.450138,6.250058,0,2600 MHz (Band 7),4G,Claro
-48.4844003,-27.6773147,E17240598365F767,480061,-103,-7,,26.820623,5.376169,0,2600 MHz (Band 7),4G,Claro
-48.4844448,-27.6754124,AC92C667CC9250CA,480061,-107,-10,,,,,2600 MHz (Band 7),4G,Claro
-48.48178,-27.6012652,F1D2193EE6EEC4D8,,,,,,,,UNKNOWN,4G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,UNKNOWN,4G,Oi
-48.4754716,-27.602231,708FE029FE3E10E5,,,,,25.497588,6.738388,0,UNKNOWN,4G,Oi
-48.481515,-27.601278,ECC93DD8866C1E56,,,,,,,,,4G,Oi
-48.4779842,-27.6028625,80E03747FE20CBC1,,,,,,,,,3G,Oi
-48.4811894,-27.6006784,E4ED90C76206197C,,,,,,,,,3G,Oi
-48.4816142,-27.6001684,95CA457028D3B3F8,,,,,,,,,3G,Oi
-48.4757195,-27.602069,4CBCE338B3C74F47,,,,,,,,UNKNOWN,4G,Oi
-48.4746528,-27.5991489,9B48E0E0938E46D8,294949,-96,-7,,16.847093,2.331768,0,1800+ MHz (Band 3),4G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,,3G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,UNKNOWN,4G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,,3G,Oi
-48.4790307,-27.600973,368603103823C0DA,,,,,,,,UNKNOWN,4G,Oi
-48.4755091,-27.6021543,C22FCDA9EC8B4B64,,,,,,,,UNKNOWN,4G,Oi
-48.4787228,-27.600433,ECEA94D7447034DC,294949,,,,,,,2600 MHz (Band 7),4G,Oi
-48.4749398,-27.6019861,F95AB41C282A2CC6,,,,,,,,,3G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,,3G,Oi
-48.4811549,-27.6005496,A362823D00ACE5BA,,,,,,,,,3G,Oi
-48.472183,-27.6021033,9C8E9A1A66EBFFF6,294949,-89,-5,,,,,1800+ MHz (Band 3),4G,Oi
-48.4761121,-27.6029193,947A55A0AD8A9D6A,294949,-77,-6,,,,,2600 MHz (Band 7),4G,Oi
-48.4749422,-27.601987,22F0D4A4D4D70E0E,,,,,,,,,3G,Oi
-48.4752277,-27.6019565,F287534B99116E25,,,,,,,,,3G,Oi
